1710953427:474832,B000,1.0750,11.0000,11.0000,0.0000
1710953427:504830,B000,1.0750,11.0000,11.0000,0.0000
1710953427:634840,B000,1.0750,11.0000,11.0000,0.0000
1710953427:664838,B000,1.0750,11.0000,11.0000,0.0000
1710953427:894860,B000,1.0750,11.0000,11.0000,0.0000
1710953427:924861,B000,1.0750,11.0000,11.0000,0.0000
1710953428:54872,B000,1.0750,11.0000,11.0000,0.0000
1710953428:84868,B000,1.0800,11.0000,11.0000,0.0000
1710953428:131508,B003,25.2286,23.5745,25.4636
1710953428:244883,B000,1.0750,11.0000,11.0000,0.0000
1710953428:314889,B000,1.0750,11.0000,11.0000,0.0000
1710953428:474910,B000,1.0800,11.0000,11.0000,0.0000
1710953428:505198,B000,1.0750,11.0000,11.0000,0.0000
1710953428:634929,B000,1.0750,11.0000,11.0000,0.0000
1710953428:664915,B000,1.0750,11.0000,11.0000,0.0000
1710953428:894927,B000,1.0750,11.0000,11.0000,0.0000
1710953428:924931,B000,1.0750,11.0000,11.0000,0.0000
1710953429:54938,B000,1.0750,11.0000,11.0000,0.0000
1710953429:84939,B000,1.0750,11.0000,11.0000,0.0000
1710953429:131696,B003,25.2857,23.5887,25.4818
1710953429:244950,B000,1.0750,11.0000,11.0000,0.0000
1710953429:314960,B000,1.0750,11.0000,11.0000,0.0000
1710953429:474974,B000,1.0750,11.0000,11.0000,0.0000
1710953429:504976,B000,1.0750,11.0000,11.0000,0.0000
1710953429:634985,B000,1.0750,11.0000,11.0000,0.0000
1710953429:664982,B000,1.0750,11.0000,11.0000,0.0000
1710953429:894996,B000,1.0750,11.0000,11.0000,0.0000
1710953429:924999,B000,1.0750,11.0000,11.0000,0.0000
1710953430:55027,B000,1.0750,11.0000,11.0000,0.0000
1710953430:85832,B000,1.0800,11.0000,11.0000,0.0000
1710953430:131635,B003,25.2571,23.5957,25.4364
1710953430:245018,B000,1.0750,11.0000,11.0000,0.0000
1710953430:315030,B000,1.0750,11.0000,11.0000,0.0000
1710953430:333639,B003,25.2571,23.5745,25.4636
1710953430:475040,B000,1.0750,11.0000,11.0000,0.0000
1710953430:505046,B000,1.0750,11.0000,11.0000,0.0000
1710953430:635053,B000,1.0750,11.0000,11.0000,0.0000
1710953430:665050,B000,1.0750,11.0000,11.0000,0.0000
1710953430:895067,B000,1.0750,11.0000,11.0000,0.0000
1710953430:925068,B000,1.0750,11.0000,11.0000,0.0000
1710953431:55080,B000,1.0750,11.0000,11.0000,0.0000
1710953431:85887,B000,1.0750,11.0000,11.0000,0.0000
1710953431:131700,B003,25.2571,23.5957,25.4636
1710953431:245129,B000,1.0750,11.0000,11.0000,0.0000
1710953431:314987,B000,1.0800,11.0000,11.0000,0.0000
1710953431:475128,B000,1.0750,11.0000,11.0000,0.0000
1710953431:505113,B000,1.0750,11.0000,11.0000,0.0000
1710953431:635120,B000,1.0750,11.0000,11.0000,0.0000
1710953431:665120,B000,1.0750,11.0000,11.0000,0.0000
1710953431:895139,B000,1.0750,11.0000,11.0000,0.0000
1710953431:925138,B000,1.0750,11.0000,11.0000,0.0000
1710953432:55146,B000,1.0750,11.0000,11.0000,0.0000
1710953432:85155,B000,1.0750,11.0000,11.0000,0.0000
1710953432:131790,B003,25.3143,23.5887,25.4818
1710953432:245204,B000,1.0750,11.0000,11.0000,0.0000
1710953432:315054,B000,1.0750,11.0000,11.0000,0.0000
1710953432:475193,B000,1.0800,11.0000,11.0000,0.0000
1710953432:505186,B000,1.0800,11.0000,11.0000,0.0000
1710953432:635194,B000,1.0800,11.0000,11.0000,0.0000
1710953432:665190,B000,1.0750,11.0000,11.0000,0.0000
1710953432:895208,B000,1.0750,11.0000,11.0000,0.0000
1710953432:925208,B000,1.0750,11.0000,11.0000,0.0000
1710953433:55219,B000,1.0750,11.0000,11.0000,0.0000
1710953433:86036,B000,1.0800,11.0000,11.0000,0.0000
1710953433:131843,B003,25.2857,23.6099,25.4818
1710953433:245234,B000,1.0750,11.0000,11.0000,0.0000
1710953433:315239,B000,1.0750,11.0000,11.0000,0.0000
1710953433:475253,B000,1.0750,11.0000,11.0000,0.0000
1710953433:505251,B000,1.0750,11.0000,11.0000,0.0000
1710953433:635266,B000,1.0750,11.0000,11.0000,0.0000
1710953433:665261,B000,1.0800,11.0000,11.0000,0.0000
1710953433:895276,B000,1.0750,11.0000,11.0000,0.0000
1710953433:925275,B000,1.0750,11.0000,11.0000,0.0000
1710953434:55291,B000,1.0750,11.0000,11.0000,0.0000
1710953434:85293,B000,1.0750,11.0000,11.0000,0.0000
1710953434:131924,B003,25.2571,23.5745,25.4636
1710953434:245304,B000,1.0800,11.0000,11.0000,0.0000
1710953434:315309,B000,1.0750,11.0000,11.0000,0.0000
1710953434:475320,B000,1.0750,11.0000,11.0000,0.0000
1710953434:505496,B000,1.0750,11.0000,11.0000,0.0000
1710953434:635337,B000,1.0800,11.0000,11.0000,0.0000
1710953434:665333,B000,1.0750,11.0000,11.0000,0.0000
1710953434:896175,B000,1.0800,11.0000,11.0000,0.0000
1710953434:925352,B000,1.0750,11.0000,11.0000,0.0000
1710953435:55382,B000,1.0750,11.0000,11.0000,0.0000
1710953435:85376,B000,1.0800,11.0000,11.0000,0.0000
1710953435:132089,B003,25.2857,23.5887,25.4818
1710953435:245410,B000,1.0750,11.0000,11.0000,0.0000
1710953435:315264,B000,1.0750,11.0000,11.0000,0.0000
1710953435:475395,B000,1.0750,11.0000,11.0000,0.0000
1710953435:505397,B000,1.0750,11.0000,11.0000,0.0000
1710953435:635399,B000,1.0750,11.0000,11.0000,0.0000
1710953435:665403,B000,1.0750,11.0000,11.0000,0.0000
1710953435:895417,B000,1.0750,11.0000,11.0000,0.0000
1710953435:925417,B000,1.0750,11.0000,11.0000,0.0000
1710953436:55429,B000,1.0750,11.0000,11.0000,0.0000
1710953436:85437,B000,1.0750,11.0000,11.0000,0.0000
1710953436:131951,B003,25.2857,23.6099,25.4818
1710953436:245442,B000,1.0750,11.0000,11.0000,0.0000
1710953436:315442,B000,1.0750,11.0000,11.0000,0.0000
1710953436:476277,B000,1.0750,11.0000,11.0000,0.0000
1710953436:505462,B000,1.0800,11.0000,11.0000,0.0000
1710953436:635475,B000,1.0800,11.0000,11.0000,0.0000
1710953436:665473,B000,1.0750,11.0000,11.0000,0.0000
1710953436:895485,B000,1.0750,11.0000,11.0000,0.0000
1710953436:925492,B000,1.0750,11.0000,11.0000,0.0000
1710953437:55508,B000,1.0800,11.0000,11.0000,0.0000
1710953437:85505,B000,1.0750,11.0000,11.0000,0.0000
1710953437:132120,B003,25.3143,23.5887,25.4818
1710953437:245511,B000,1.0800,11.0000,11.0000,0.0000
1710953437:315523,B000,1.0750,11.0000,11.0000,0.0000
1710953437:334122,B003,25.2857,23.5887,25.4818
1710953437:476351,B000,1.0800,11.0000,11.0000,0.0000
1710953437:505531,B000,1.0750,11.0000,11.0000,0.0000
1710953437:635542,B000,1.0750,11.0000,11.0000,0.0000
1710953437:665548,B000,1.0800,11.0000,11.0000,0.0000
1710953437:895560,B000,1.0750,11.0000,11.0000,0.0000
1710953437:925561,B000,1.0750,11.0000,11.0000,0.0000
1710953438:55568,B000,1.0750,11.0000,11.0000,0.0000
1710953438:85571,B000,1.0750,11.0000,11.0000,0.0000
1710953438:132091,B003,25.2857,23.6099,25.4818
1710953438:245581,B000,1.0750,11.0000,11.0000,0.0000
1710953438:315585,B000,1.0750,11.0000,11.0000,0.0000
1710953438:475611,B000,1.0750,11.0000,11.0000,0.0000
1710953438:505601,B000,1.0750,11.0000,11.0000,0.0000
1710953438:635609,B000,1.0750,11.0000,11.0000,0.0000
1710953438:665614,B000,1.0750,11.0000,11.0000,0.0000
1710953438:895627,B000,1.0750,11.0000,11.0000,0.0000
1710953438:925630,B000,1.0750,11.0000,11.0000,0.0000
1710953439:55636,B000,1.0750,11.0000,11.0000,0.0000
1710953439:85638,B000,1.0750,11.0000,11.0000,0.0000
1710953439:132158,B003,25.2857,23.5887,25.4818
1710953439:245655,B000,1.0750,11.0000,11.0000,0.0000
1710953439:315660,B000,1.0750,11.0000,11.0000,0.0000
1710953439:475672,B000,1.0750,11.0000,11.0000,0.0000
1710953439:506488,B000,1.0750,11.0000,11.0000,0.0000
1710953439:635683,B000,1.0800,11.0000,11.0000,0.0000
1710953439:665681,B000,1.0800,11.0000,11.0000,0.0000
1710953439:895698,B000,1.0800,11.0000,11.0000,0.0000
1710953439:925697,B000,1.0750,11.0000,11.0000,0.0000
1710953440:55707,B000,1.0750,11.0000,11.0000,0.0000
1710953440:85711,B000,1.0750,11.0000,11.0000,0.0000
1710953440:132342,B003,25.2857,23.5745,25.4636
1710953440:245723,B000,1.0750,11.0000,11.0000,0.0000
1710953440:315734,B000,1.0750,11.0000,11.0000,0.0000
1710953440:475748,B000,1.0750,11.0000,11.0000,0.0000
1710953440:505762,B000,1.0750,11.0000,11.0000,0.0000
1710953440:635756,B000,1.0800,11.0000,11.0000,0.0000
1710953440:665751,B000,1.0750,11.0000,11.0000,0.0000
1710953440:895769,B000,1.0750,11.0000,11.0000,0.0000
1710953440:925768,B000,1.0750,11.0000,11.0000,0.0000
1710953441:55775,B000,1.0750,11.0000,11.0000,0.0000
1710953441:85776,B000,1.0750,11.0000,11.0000,0.0000
1710953441:132398,B003,25.2571,23.5957,25.4636
1710953441:245792,B000,1.0750,11.0000,11.0000,0.0000
1710953441:315803,B000,1.0750,11.0000,11.0000,0.0000
